continent,location,date,new_cases,total_deaths,new_deaths,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand
Africa,Algeria,2020-01,0.0,0.0,0.0,43851043.0,17.348000000000000,29.100000000000000,6.211000000000000,3.8570000000000000,13913.839000000000,0.5,278.3640000000000,6.730000000000000,0.7000000000000000,30.400000000000000,1.900000000000000
Africa,Algeria,2020-02,1.0,0.0,0.0,43851043.0,17.34800000000000,29.100000000000000,6.211000000000000,3.8570000000000000,13913.839000000000,0.5,278.3640000000000,6.730000000000000,0.7000000000000000,30.400000000000000,1.900000000000000
Africa,Algeria,2020-03,583.0,276.0,35.0,43851043.0,17.34800000000000,29.100000000000000,6.211000000000000,3.8570000000000000,13913.839000000000,0.5,278.36400000000000,6.7300000000000000,0.7000000000000000,30.400000000000000,1.900000000000000
Africa,Algeria,2020-04,3264.0,8767.0,409.0,43851043.0,17.34800000000000,29.100000000000000,6.211000000000000,3.8570000000000000,13913.839000000000,0.5,278.3640000000000,6.730000000000000,0.7000000000000000,30.400000000000000,1.900000000000000
Africa,Algeria,2020-05,5419.0,16698.0,202.0,43851043.0,17.348000000000000,29.100000000000000,6.211000000000000,3.8570000000000000,13913.839000000000,0.5,278.3640000000000,6.730000000000000,0.7000000000000000,30.400000000000000,1.900000000000000
Africa,Algeria,2020-06,4304.0,23335.0,259.0,43851043.0,17.34800000000000,29.100000000000000,6.211000000000000,3.8570000000000000,13913.839000000000,0.5,278.3640000000000,6.730000000000000,0.7000000000000000,30.400000000000000,1.900000000000000
Africa,Algeria,2020-07,16260.0,32422.0,295.0,43851043.0,17.348000000000000,29.100000000000000,6.211000000000000,3.8570000000000000,13913.839000000000,0.5,278.3640000000000,6.730000000000000,0.7000000000000000,30.400000000000000,1.900000000000000
Africa,Algeria,2020-08,14315.0,42128.0,301.0,43851043.0,17.348000000000000,29.100000000000000,6.211000000000000,3.8570000000000000,13913.839000000000,0.5,278.3640000000000,6.730000000000000,0.7000000000000000,30.400000000000000,1.900000000000000
Africa,Algeria,2020-09,7222.0,48742.0,225.0,43851043.0,17.34800000000000,29.100000000000000,6.211000000000000,3.8570000000000000,13913.839000000000,0.5,278.3640000000000,6.730000000000000,0.7000000000000000,30.400000000000000,1.900000000000000
Africa,Algeria,2020-10,2216.0,26682.0,101.0,43851043.0,17.348000000000000,29.10000000000000,6.211000000000000,3.8570000000000000,13913.839000000000,0.5,278.3640000000000,6.730000000000000,0.7000000000000000,30.40000000000000,1.9000000000000000
Africa,Benin,2020-03,6.0,0.0,0.0,12123198.0,99.11000000000000,18.800000000000000,3.2440000000000000,1.942,2064.2360000000000,49.600000000000000,235.84800000000000,0.9900000000000000,0.6000000000000000,12.300000000000000,0.5
Africa,Benin,2020-04,63.0,25.0,2.0,12123198.0,99.11,18.800000000000000,3.2440000000000000,1.942,2064.236000000000,49.60000000000000,235.84800000000000,0.9899999999999990,0.6,12.300000000000000,0.5
Africa,Benin,2020-05,163.0,72.0,1.0,12123198.0,99.11000000000000,18.8,3.2440000000000000,1.942,2064.236000000000,49.60000000000000,235.84800000000000,0.9899999999999990,0.6000000000000000,12.300000000000000,0.5
Africa,Benin,2020-06,955.0,249.0,16.0,12123198.0,99.11,18.800000000000000,3.2440000000000000,1.942,2064.236000000000,49.60000000000000,235.84800000000000,0.9899999999999990,0.6,12.300000000000000,0.5
Africa,Benin,2020-07,583.0,858.0,16.0,12123198.0,99.11000000000000,18.8,3.2440000000000000,1.942,2064.236000000000,49.60000000000000,235.84800000000000,0.9899999999999990,0.6000000000000000,12.300000000000000,0.5
Africa,Benin,2020-08,375.0,1191.0,5.0,12123198.0,99.11000000000000,18.8,3.2440000000000000,1.942,2064.236000000000,49.60000000000000,235.84800000000000,0.9899999999999990,0.6000000000000000,12.300000000000000,0.5
Africa,Benin,2020-09,195.0,1200.0,0.0,12123198.0,99.11,18.800000000000000,3.2440000000000000,1.942,2064.236000000000,49.60000000000000,235.84800000000000,0.9899999999999990,0.6,12.300000000000000,0.5
Africa,Benin,2020-10,138.0,615.0,1.0,12123198.0,99.11000000000000,18.800000000000000,3.2440000000000000,1.942,2064.2360000000000,49.600000000000000,235.84800000000000,0.9900000000000000,0.6000000000000000,12.300000000000000,0.5
Africa,Burkina Faso,2020-03,222.0,54.0,12.0,20903278.0,70.15100000000000,17.6,2.409,1.3580000000000000,1703.1020000000000,43.70000000000000,269.0480000000000,2.420000000000000,1.6000000000000000,23.90000000000000,0.40000000000000000
Africa,Burkina Faso,2020-04,419.0,890.0,31.0,20903278.0,70.15100000000010,17.60000000000000,2.4090000000000000,1.3580000000000000,1703.1020000000000,43.700000000000000,269.04800000000000,2.4200000000000000,1.6000000000000000,23.900000000000000,0.4000000000000000
Africa,Burkina Faso,2020-05,212.0,1547.0,10.0,20903278.0,70.15100000000000,17.60000000000000,2.4090000000000000,1.3580000000000000,1703.1020000000000,43.700000000000000,269.0480000000000,2.4200000000000000,1.6000000000000000,23.900000000000000,0.4000000000000000
Africa,Burkina Faso,2020-06,106.0,1590.0,0.0,20903278.0,70.15100000000010,17.60000000000000,2.4090000000000000,1.3580000000000000,1703.1020000000000,43.700000000000000,269.04800000000000,2.4200000000000000,1.6000000000000000,23.900000000000000,0.4000000000000000
