continent,location,date,new_cases,total_deaths,new_deaths,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand
Africa,Algeria,2020,53584.0,199050.0,1827.0,43851043.0,17.348000000000000,20.0,6.211000000000010,3.856999999999990,13913.839000000100,0.5,278.36400000000100,6.730000000000020,0.6999999999999970,30.399999999999800,1.8999999999999900
Africa,Benin,2020,2478.0,4210.0,41.0,12123198.0,99.1100000000003,10.0,3.2440000000000200,1.9420000000000000,2064.2359999999900,49.60000000000020,235.8480000000000,0.9900000000000020,0.5999999999999980,12.300000000000000,0.5
Africa,Burkina Faso,2020,2305.0,9988.0,63.0,20903278.0,70.15099999999990,10.0,2.409000000000000,1.3580000000000000,1703.1020000000100,43.70000000000000,269.04800000000100,2.420000000000000,1.6000000000000000,23.900000000000000,0.4000000000000010
Africa,Comoros,2020,496.0,892.0,7.0,869595.0,437.3519999999990,20.0,2.9630000000000100,1.7260000000000000,1413.890000000010,18.099999999999900,261.51600000000100,11.88000000000010,4.399999999999990,23.599999999999900,2.1999999999999900
Africa,Djibouti,2020,5440.0,7762.0,61.0,988002.0,41.2849999999999,20.0,4.212999999999990,2.3800000000000000,2705.406000000000,22.5,258.0369999999990,6.049999999999980,1.6999999999999900,24.5,1.4000000000000000
Africa,Egypt,2020,104915.0,620000.0,6077.0,102334403.0,97.99899999999980,20.0,5.159000000000030,2.890999999999990,10550.205999999900,1.3000000000000100,525.4320000000010,17.31000000000000,0.20000000000000100,50.10000000000020,1.6000000000000100
Africa,Ethiopia,2020,86430.0,72326.0,1312.0,114963583.0,104.95700000000000,10.0,3.52599999999999,2.062999999999990,1729.9270000000100,26.699999999999900,182.63399999999900,7.470000000000020,0.4000000000000010,8.5,0.2999999999999990
Africa,Gambia,2020,3644.0,6729.0,118.0,2416664.0,207.5659999999990,10.0,2.339000000000000,1.4170000000000000,1561.7670000000000,10.10000000000000,331.4300000000000,1.9100000000000100,0.7000000000000000,31.199999999999900,1.100000000000000
Africa,Ghana,2020,47126.0,27903.0,310.0,31072945.0,126.71900000000000,20.0,3.384999999999990,1.947999999999990,4227.630000000000,12.0,298.24500000000100,4.97000000000002,0.2999999999999990,7.700000000000030,0.9000000000000040
Africa,Kenya,2020,42541.0,56210.0,797.0,53771300.0,87.32400000000020,20.0,2.686000000000000,1.528000000000000,2993.028000000010,36.800000000000100,218.63700000000000,2.9200000000000000,1.2000000000000000,20.40000000000000,1.4
Africa,Liberia,2020,1372.0,9759.0,82.0,5057677.0,49.12700000000020,10.0,3.057000000000010,1.7559999999999900,752.7880000000000,38.60000000000020,272.5089999999990,2.420000000000010,1.5,18.099999999999900,0.8000000000000010
Africa,Malawi,2020,5829.0,14756.0,181.0,19129955.0,197.5190000000000,10.0,2.9790000000000000,1.7830000000000000,1095.0420000000000,71.39999999999980,227.34900000000000,3.9400000000000200,4.399999999999990,24.69999999999990,1.3000000000000000
Africa,Mauritius,2020,407.0,1948.0,10.0,1271767.0,622.9620000000000,30.0,10.945000000000000,5.884000000000010,20292.74500000010,0.5,224.6440000000000,22.020000000000000,3.200000000000000,40.6999999999999,3.399999999999990
Africa,Morocco,2020,160333.0,130874.0,2726.0,36910558.0,80.08000000000010,20.0,6.769000000000010,4.208999999999980,7485.013000000020,1.0,419.1459999999990,7.140000000000030,0.8000000000000020,47.10000000000020,1.100000000000000
Africa,Mozambique,2020,10392.0,3101.0,73.0,31255435.0,37.72800000000010,10.0,3.1580000000000100,1.8700000000000000,1136.1030000000000,62.89999999999980,329.9420000000010,3.2999999999999900,5.100000000000010,29.100000000000100,0.7000000000000000
Africa,Niger,2020,1205.0,11400.0,69.0,24206636.0,16.955000000000000,10.0,2.5530000000000000,1.3779999999999900,926.0,44.5,238.33900000000000,2.4200000000000100,0.10000000000000000,15.400000000000100,0.2999999999999990
Africa,Seychelles,2020,148.0,0.0,0.0,98340.0,208.3540000000000,30.0,8.606000000000000,5.586000000000010,26382.286999999900,1.100000000000000,242.64800000000100,10.55000000000000,7.099999999999980,35.699999999999900,3.600000000000010
Africa,South Africa,2020,696414.0,1284124.0,18151.0,59308690.0,46.75400000000010,20.0,5.344000000000030,3.0530000000000000,12294.876000000000,18.900000000000100,200.38000000000000,5.519999999999990,8.09999999999997,33.19999999999990,2.3199999999999900
Africa,Tanzania,2020,509.0,3649.0,21.0,59734213.0,64.69900000000010,10.0,3.1079999999999900,1.8740000000000100,2683.3040000000000,49.10000000000020,217.28800000000000,5.75,3.2999999999999900,26.699999999999900,0.7000000000000000
Africa,Togo,2020,1983.0,3993.0,51.0,8278737.0,143.36600000000100,10.0,2.839000000000010,1.5250000000000000,1429.8130000000000,49.200000000000100,280.0330000000010,6.150000000000010,0.9000000000000040,14.200000000000000,0.7
Africa,Tunisia,2020,34790.0,16749.0,512.0,11818618.0,74.22799999999960,30.0,8.00099999999998,5.075000000000020,10849.297000000000,2.0,318.99100000000100,8.519999999999990,1.100000000000000,65.79999999999980,2.300000000000010
Africa,Uganda,2020,10069.0,3363.0,95.0,45741000.0,213.75899999999900,10.0,2.1680000000000100,1.3080000000000000,1697.707000000000,41.600000000000200,213.3329999999990,2.5,3.399999999999990,16.699999999999900,0.5
Africa,Zambia,2020,15616.0,25091.0,345.0,18383956.0,22.994999999999900,10.0,2.480000000000010,1.5420000000000000,3689.2510000000100,57.5,234.49900000000100,3.94000000000002,3.100000000000010,24.699999999999900,2.0
